poi_name,poi_latitude,poi_longitude,poi_rating,poi_price,poi_category,tel,poi_address,distance,source,nearest_bike_station,distance_to_nearest_station,bike_station_name,bike_station_latitude,bike_station_longitude,number_of_bikes
Bizim Gazino,38.40011,26.987634,4.5,Unknown,"['Seafood Markets', 'Restaurants']",902322383049.0,"Altıevler Mah., Meyveli Sok. No: 14, İzmir, Turkey",1000.678312831392,yelp,Sahilevleri 2,1000.6808362943449,Sahilevleri 2,38.406137,26.996162,20
Gizli Bahçe,38.3747902,26.898695,3.6,Unknown,['Turkish'],902322341317.0,"Yalı Mah., 144. Sok. No: 27/A-B Güzelbahçe, 35330 İzmir, Turkey",1032.2020332151496,yelp,Sahilevleri 2,9181.990117509846,Sahilevleri 2,38.406137,26.996162,20
Gıdacılar Sandviç-Köfte-Mantı,38.3725586,26.8786507,3.0,Unknown,['Fast Food'],905334265901.0,"Mithatpaşa Cad. 181 Sok. No:2/ C, 35340 İzmir, Turkey",343.3969701933192,yelp,Sahilevleri 2,10901.14378849823,Sahilevleri 2,38.406137,26.996162,20
İnciraltı Engelliler Kafeteryası,38.407269,27.066345,3.9,2.0,Café,(0232) 259 89 22,İzmir,396.0,foursquare,İnciraltı Kent Ormanı,398.48280567191927,İnciraltı Kent Ormanı,38.4066894063,27.0618320135,40
Free Time,38.411634,27.064018,3.5,1.0,['Turkish'],902322792854.0,"Novada AVM., Çetin  Emeç Mah.Moda Sok. No:6/ A .Balçova, 35320 İzmir, Turkey",581.8700170015353,yelp,İnciraltı Kent Ormanı,581.8714843329903,İnciraltı Kent Ormanı,38.4066894063,27.0618320135,40
Peximet,38.398317,27.053289,3.7,2.0,"['Cafes', 'Coffee & Tea']",902324211010.0,"Agora AVM., Mithatpasa Cad. No:1446 Balcova, İzmir, Turkey",1192.0087963985327,yelp,İnciraltı Kent Ormanı,1192.0118023547955,İnciraltı Kent Ormanı,38.4066894063,27.0618320135,40
Sipari Restaurant,38.406202,27.06735,4.1,3.0,Seafood,(0232) 259 59 58,"Haydar Aliyev Bul Daire: 4, Levent Marina Tesisleri İnciraltı, Balçova, İzmir, 35140 İzmir",504.0,foursquare,Üçkuyular İskelesi,295.67024566337096,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Teras By Tuval,38.406258,27.0674,3.95,3.0,Mediterranean,0532 179 55 56,"Levent Marina, İzmir",497.0,foursquare,Üçkuyular İskelesi,295.5138560126255,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Nefes Restoran-Kafe-Bar,38.40592,27.067684,3.75,2.0,Café,,"Levent Marina, İzmir",516.0,foursquare,Üçkuyular İskelesi,254.38505044494676,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Tuzu Biberi,38.406334,27.067491,3.65,2.0,Breakfast,,"İzmir Marina (Haydar Aliyev Bulvarı), İzmir",494.0,foursquare,Üçkuyular İskelesi,293.99634024574783,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Boğaziçi Restaurant - Üçkuyular,38.405394,27.070807,4.45,3.0,Diner,(0232) 278 88 88,"Mustafa Kemal Sahil Bul Vapur İskelesi Üstü Üçkuyular, İzmir",805.0,foursquare,Üçkuyular İskelesi,89.2392879611825,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Damak Çatlatan Lezzetler,38.405488,27.068388,3.35,2.0,Turkish,,"Levent Marina Haydar Aliyev Bul No:4, İzmir",600.0,foursquare,Üçkuyular İskelesi,177.3899941493867,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Potiri Meyhane,38.405989,27.0674,4.2,4.0,"['Pubs', 'Turkish']",902322590090.0,"Levent Marina, Haydar Aliyev Bulv.No: 4, İzmir, Turkey",491.377713765608,yelp,Üçkuyular İskelesi,279.64373915390365,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Sipari Balık Restaurant,38.406137,27.067246,4.7,Unknown,"['Seafood', 'Turkish']",902322595958.0,"Haydar Aliyev Bulv. No: 4, Balçova, İzmir, Turkey",475.72936869475416,yelp,Üçkuyular İskelesi,299.52374857237965,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Boğaziçi Restaurant,38.405569,27.070974,4.7,3.0,"['Turkish', 'Seafood', 'Breakfast & Brunch']",902322788888.0,"Bahçelerarası Mah., Mustafa Kemal Sahil Blv., 35920 İzmir, Turkey",806.2725987655206,yelp,Üçkuyular İskelesi,113.53767597079576,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Tuval Restaurant,38.4057308,27.0683864000001,5.0,Unknown,"['Turkish', 'Mediterranean']",905321795556.0,"Haydar Aliyev Blv. No:4/5, Levent Marina, 35330 İzmir, Turkey",580.9793709919622,yelp,Üçkuyular İskelesi,191.47659253926,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Tarasa Nostalji,38.405926,27.067459,4.0,Unknown,"['Fast Food', 'Turkish']",902322590090.0,"Haydar Aliyev Bulv., No: 4, Levant Marina İçinde, İzmir, Turkey",497.6016289195424,yelp,Üçkuyular İskelesi,271.7442396252981,Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Eatery,38.39952,27.068038,4.25,Unknown,Restaurant,,"İstinye Park, Balçova",610.0,foursquare,Fahrettin Altay,381.9068767936607,Fahrettin Altay,38.39675,27.070629,12
Masa Restaurant,38.399388,27.067648,4.25,2.0,Café,(0232) 683 04 48,"İstinye Park (Şehit Binbaşı Ali Resmi Tufan Sok. No:3), 35330 Balçova",635.0,foursquare,Fahrettin Altay,391.82850655452694,Fahrettin Altay,38.39675,27.070629,12
Godiva,38.399388,27.067648,4.2,2.0,Café,,"İstinye Park (Şehit Binbaşı Ali Resmi Tufan Sok. No:3), 35330 Balçova",635.0,foursquare,Fahrettin Altay,391.82850655452694,Fahrettin Altay,38.39675,27.070629,12
Mr. Rakun,38.396463,27.071093,4.15,2.0,Café,,"İnönü Cad No:885/A, 35290 İzmir",49.0,foursquare,Fahrettin Altay,51.51236665445862,Fahrettin Altay,38.39675,27.070629,12
Gönül Çorba,38.396568,27.069426,3.9,1.0,Soup Spot,(0232) 277 55 74,"Mehmetçik BLV, 35290 İzmir",95.0,foursquare,Fahrettin Altay,106.77312867000649,Fahrettin Altay,38.39675,27.070629,12
Dürümcü İlker Usta,38.396037,27.068495,4.3,Unknown,Kebab,(0232) 277 35 82,"65/11 Sok No: 2, İzmir",211.0,foursquare,Fahrettin Altay,202.16648404804576,Fahrettin Altay,38.39675,27.070629,12
Dönerci Vedat,38.398181,27.068774,4.35,Unknown,Doner,,"İstinye Park (Şehit  Binbaşı Ali Resmi Tufan Sok. No:3), Balçova",226.0,foursquare,Fahrettin Altay,226.82985498645067,Fahrettin Altay,38.39675,27.070629,12
Şeref Usta Balık & Meze Evi,38.395463,27.072899,4.2,3.0,Seafood,,Unknown,232.0,foursquare,Fahrettin Altay,244.16107263303505,Fahrettin Altay,38.39675,27.070629,12
Caffe Nero,38.39874,27.06867,4.1,2.0,Café,,"Istinye Park (Şehit  Binbaşı Ali Resmi Tufan Sok. No:3), Balçova",279.0,foursquare,Fahrettin Altay,279.4794241643283,Fahrettin Altay,38.39675,27.070629,12
Ülver Teyze Rumeli Börekleri,38.395705,27.074686,4.3,Unknown,Restaurant,(0232) 520 02 92,"Inonu Cad No: 644, İzmir",379.0,foursquare,Fahrettin Altay,372.1622621920118,Fahrettin Altay,38.39675,27.070629,12
Peynir Evi Kahvaltı ve Ev Yemekleri,38.396802,27.0640051,5.0,Unknown,"['Breakfast & Brunch', 'Homemade Food']",902322599993.0,"Mithatpaşa Cad. No:145-B, Balçova, 35340 İzmir, Turkey",1035.4415381941942,yelp,Fahrettin Altay,577.2802883539478,Fahrettin Altay,38.39675,27.070629,12
İpek Yufka,38.3958015,27.0747299,4.0,1.0,['Delis'],902322474203.0,"Gürsel Aksel Bulv., No: 25/B, Tansaş Karşısı, İzmir, Turkey",1070.9948562569346,yelp,Fahrettin Altay,372.6203277768818,Fahrettin Altay,38.39675,27.070629,12
Battalbey Çiğköfte,38.395968,27.073705,3.5,1.0,['Turkish'],902322247333.0,"Üçkuyular Mah. İnönü Cad., No: 658 D: 2, 35290 İzmir, Turkey",1023.4651576966844,yelp,Fahrettin Altay,281.81537381886676,Fahrettin Altay,38.39675,27.070629,12
Meryemce Mantı Evi,38.396465,27.07175,4.0,Unknown,['Turkish'],902322469487.0,"Üçkuyular Mah. İnönü Cad., No: 861/B, 35260 İzmir, Turkey",931.3186944647792,yelp,Fahrettin Altay,102.7033014913591,Fahrettin Altay,38.39675,27.070629,12
Hamsiköy Akçaabat Köftecisi,38.396793,27.064135,4.0,Unknown,['Turkish'],902322595857.0,"Mithat Paşa Cad., No: 305, 35320 İzmir, Turkey",1030.4506033340688,yelp,Fahrettin Altay,565.9512009905915,Fahrettin Altay,38.39675,27.070629,12
Metehan Şarküteri,38.3950386,27.0698509,4.0,Unknown,['Delis'],902322856691.0,"Mehmetçik Bulv. No: 39/ B, 35340 İzmir, Turkey",965.703141729818,yelp,Fahrettin Altay,202.019720597377,Fahrettin Altay,38.39675,27.070629,12
Little Caesars Pizza,38.396559,27.071455,4.0,Unknown,['Pizza'],904445244.0,"Üçkuyular Mah., Fahrettin Altay Meydanı No: 2 / A, 35290 İzmir, Turkey",917.5459217137516,yelp,Fahrettin Altay,75.0510757637229,Fahrettin Altay,38.39675,27.070629,12
Yalı Döner,38.395392,27.074858,3.0,Unknown,['Turkish'],,"Üçkuyular Mah., Gürsel Aksel Bulv. .Göztepe, 35350 İzmir, Turkey",398.2814437162731,yelp,Fahrettin Altay,398.2824480884135,Fahrettin Altay,38.39675,27.070629,12
Caf'emre,38.395392,27.074858,3.0,Unknown,"['Cafes', 'Coffee & Tea']",902322240400.0,"Gürsel Aksel Bulv. Göztepe, 35350 İzmir, Turkey",398.2814437162731,yelp,Fahrettin Altay,398.2824480884135,Fahrettin Altay,38.39675,27.070629,12
Üçkuyular Pide Döner,38.394414,27.070484,4.0,Unknown,['Turkish'],902322851051.0,"Üç Kuyular Mah., Mehmetçik Bulv. 11. Sok. No: 32/ B, 35290 İzmir, Turkey",260.0582501133474,yelp,Fahrettin Altay,260.0589059161656,Fahrettin Altay,38.39675,27.070629,12
Yaşar Büfe,38.3948237026642,27.0693053174439,4.0,Unknown,"['Barbeque', 'Fast Food', 'Sandwiches']",,"Mehmetçik Bulv., Üçkuyular, 35140 İzmir, Turkey",243.28206929123127,yelp,Fahrettin Altay,243.28268278691672,Fahrettin Altay,38.39675,27.070629,12
Üçkuyular market tekel bayii,38.3949845,27.07464,3.0,Unknown,['Delis'],902322478612.0,"Gürsel Aksel Bulv., Üçkuyular ,Göztepe, 35140 İzmir, Turkey",400.9038959577761,yelp,Fahrettin Altay,400.90490694309847,Fahrettin Altay,38.39675,27.070629,12
Söğüşçü Mira,38.399244,27.079378,4.0,Unknown,Söğüş Place,(0232) 285 55 58,"Mithatpaşa Cad No:1073 (Mithatpaşa), 35280 Konak",197.0,foursquare,A.A Saygun,191.85947327550684,A.A Saygun,38.4006949388,27.0781865266,20
Coffeemania,38.399379,27.080053,3.8,2.0,Café,,"Mithatpaşa, 35330 İzmir",210.0,foursquare,A.A Saygun,218.78349182499824,A.A Saygun,38.4006949388,27.0781865266,20
Café Violin,38.398048,27.077769,4.1,2.0,Café,(0232) 224 14 14,"18 Sok No: 8 A/B, İzmir",280.0,foursquare,A.A Saygun,296.5670053313846,A.A Saygun,38.4006949388,27.0781865266,20
Gel Tat,38.39868,27.076967,3.85,2.0,Café,,İzmir,247.0,foursquare,A.A Saygun,247.97789334427884,A.A Saygun,38.4006949388,27.0781865266,20
Caffe D'Amore,38.398361,27.077488,3.95,2.0,Café,,İzmir,262.0,foursquare,A.A Saygun,266.5658253877973,A.A Saygun,38.4006949388,27.0781865266,20
Bi Mekan Coffee & Bakery,38.398601,27.078349,3.75,2.0,Café,(0232) 224 40 20,"Mithatpaşa Cad No:1087 (Mithatpaşa), 35290 Konak",239.0,foursquare,A.A Saygun,233.26578280313825,A.A Saygun,38.4006949388,27.0781865266,20
Söğüşçü Aco Güzelyalı,38.398993,27.080547,4.05,1.0,Fast Food,(0232) 247 28 33,"Mithat Paşa Cad, No: 1045 / Daire: Güzelyalı (Mithatpaşa Cad.), Konak",299.0,foursquare,A.A Saygun,279.51123112863803,A.A Saygun,38.4006949388,27.0781865266,20
Peximet Göztepe,38.3988263,27.0788747,4.0,1.0,"['Coffee & Tea', 'Cafes']",902324632842.0,"Mithatpaşa Cd. No:1170, Güzelyalı, 35290 İzmir, Turkey",1003.1431794581978,yelp,A.A Saygun,216.2644531509474,A.A Saygun,38.4006949388,27.0781865266,20
Waffle'cı Akın,38.398816,27.07949,4.6,Unknown,"['Coffee & Tea', 'Cafes', 'Waffles']",902322479082.0,"Mithat Paşa Cad. No:1073/A, Göztepe, 35290 İzmir, Turkey",1044.8930444893708,yelp,A.A Saygun,237.81008674962115,A.A Saygun,38.4006949388,27.0781865266,20
By Cicogna Restoran,38.398486,27.080187,3.2,2.0,['Turkish'],902322590090.0,"Üçkuyular /  İzmir, Haydar Aliyev Bulv. No: 4 Levent Marina İçinde, 35290 İzmir, Turkey",1115.203554904177,yelp,A.A Saygun,301.19920659726256,A.A Saygun,38.4006949388,27.0781865266,20
Enginar Restaurant & Cafe,38.399105,27.080645,4.3,Unknown,Turkish Home Cooking,(0232) 404 55 55,"Mithatpaşa Cad No:1164, İzmir",279.0,foursquare,Göztepe Köprü,270.8672229260265,Göztepe Köprü,38.3992000613,27.0837509082,30
Hatay Unlu Mamuller Güzelyalı Şubesi,38.39891,27.081863,3.95,1.0,Bakery,,Unknown,382.0,foursquare,Göztepe Köprü,167.65162913290186,Göztepe Köprü,38.3992000613,27.0837509082,30
Göztepe Ekmek Fırını,38.398564,27.08267,4.2,1.0,Bakery,,İzmir,475.0,foursquare,Göztepe Köprü,117.7920619796811,Göztepe Köprü,38.3992000613,27.0837509082,30
La Folie Güzelyalı,38.398179,27.08409,4.05,2.0,Restaurant,(0232) 224 08 31,"Mithatpaşa Cad No:1096/A Konak (Mithatpaşa Cd.), 35290 İzmir",116.0,foursquare,Göztepe Köprü,117.31943593430117,Göztepe Köprü,38.3992000613,27.0837509082,30
Lezzet Lokantası,38.397715,27.08396,4.2,Unknown,Dining and Drinking,(0232) 247 03 45,"40 Sok No: 1 / Cad, 35290 İzmir",154.0,foursquare,Göztepe Köprü,166.1337751689771,Göztepe Köprü,38.3992000613,27.0837509082,30
Ceyhan Lokantası,38.397715,27.08396,4.05,Unknown,Turkish,(0232) 246 24 77,"40 Sok, No: 3 / B Güzelyalı, 35290 Konak",167.0,foursquare,Göztepe Köprü,166.1337751689771,Göztepe Köprü,38.3992000613,27.0837509082,30
Park Lokantası,38.396848,27.081806,4.45,Unknown,Turkish Home Cooking,(0232) 224 83 14,"30 Sok No: 1 / E, Güzelyalı, İzmir",286.0,foursquare,Göztepe Köprü,311.6546692711765,Göztepe Köprü,38.3992000613,27.0837509082,30
The Irish Pub,38.39748,27.085371,3.85,Unknown,Irish,,"Mustafa Kemal Sahil Bulvarı, 35290 İzmir",237.0,foursquare,Göztepe Köprü,237.7263929674729,Göztepe Köprü,38.3992000613,27.0837509082,30
Sanita,38.397783,27.085687,3.75,2.0,Café,(0232) 224 48 48,"Mustafa Kemal Sahil Bul No:679, Konak",221.0,foursquare,Göztepe Köprü,230.85678374557287,Göztepe Köprü,38.3992000613,27.0837509082,30
Egeli Balık Restaurant,38.3992803603057,27.0816243750933,5.0,Unknown,['Seafood'],902322483797.0,"Mustafa Kemal Sahil Blv. No:751, Güzelyalı, 35370 İzmir, Turkey",1167.1484032946105,yelp,Göztepe Köprü,185.52910517181624,Göztepe Köprü,38.3992000613,27.0837509082,30
ACO,38.398941,27.080633,5.0,Unknown,['Fast Food'],902322472833.0,"Mithat Paşa Cad., No: 1045/D, 35290 İzmir, Turkey",1115.7682956621322,yelp,Göztepe Köprü,273.2296857405948,Göztepe Köprü,38.3992000613,27.0837509082,30
