restaurant_name,restaurant_latitude,restaurant_longitude,rating,price,category,tel,address,distance,source
Hatay Unlu Mamuller Güzelyalı Şubesi,38.39891,27.081863,3.95,1.0,Bakery,,,382.0,foursquare
Göztepe Ekmek Fırını,38.398564,27.08267,4.2,1.0,Bakery,,İzmir,475.0,foursquare
La Folie Güzelyalı,38.398179,27.08409,4.05,2.0,Restaurant,(0232) 224 08 31,"Mithatpaşa Cad No:1096/A Konak (Mithatpaşa Cd.), 35290 İzmir",116.0,foursquare
Lezzet Lokantası,38.397715,27.08396,4.2,,Dining and Drinking,(0232) 247 03 45,"40 Sok No: 1 / Cad, 35290 İzmir",154.0,foursquare
Ceyhan Lokantası,38.397715,27.08396,4.05,,Turkish,(0232) 246 24 77,"40 Sok, No: 3 / B Güzelyalı, 35290 Konak",167.0,foursquare
Park Lokantası,38.396848,27.081806,4.45,,Turkish Home Cooking,(0232) 224 83 14,"30 Sok No: 1 / E, Güzelyalı, İzmir",286.0,foursquare
The Irish Pub,38.39748,27.085371,3.85,,Irish,,"Mustafa Kemal Sahil Bulvarı, 35290 İzmir",237.0,foursquare
Sanita,38.397783,27.085687,3.75,2.0,Café,(0232) 224 48 48,"Mustafa Kemal Sahil Bul No:679, Konak",221.0,foursquare
Charleston Cake & More,38.402033,27.09499,4.55,2.0,Café,0530 445 39 92,"Mithatpaşa Cad No: 850/1 Göztepe - Konak, İzmir",178.0,foursquare
Enfes Seyler Cafe & Bistro,38.40229,27.095587,4.4,2.0,Café,(0232) 453 17 97,"Mithatpasa Cad No: 739/C Konak (Mithatpaşa Caddesi No:739/C), 35290 İzmir",215.0,foursquare
Tuzu Biberi Mangal,38.400663,27.092393,3.8,2.0,Turkish,(0232) 224 95 00,"Mithat Paşa Cad No: 888/A, Güzelyalı (Mustafa Kemal Sahil Bulvarı), İzmir",161.0,foursquare
Cafe Villa Fırat,38.40087,27.094707,4.15,2.0,Café,(0232) 232 89 09,İzmir,218.0,foursquare
Pizza Venedik Express,38.402508,27.095872,4.1,2.0,Pizza,(0232) 243 17 17,"Mithat Paşa Cad, No: 836 / A, Güzelyalı, 35290 İzmir",231.0,foursquare
Retro Cafe 29 May,38.402681,27.095932,4.05,2.0,Café,0555 852 50 05,"Mithatpaşa Cad 882/1-a Küçükyalı (Mithatpaşa), İzmir",265.0,foursquare
Göztepe Kokoreççisi,38.399584,27.091721,4.0,,Kokoreç Restaurant,(0232) 247 33 00,"Mithatpaşa Cad No:918, İzmir",296.0,foursquare
Gurme Peynircim,38.402978,27.096842,4.05,2.0,Deli,,"Mithatpasa Cad No:824 /A Sadikbey Goztepe, İzmir",338.0,foursquare
Muzom Restoran,38.399042,27.090965,4.25,,BBQ,(0232) 248 38 38,"Mithatpasa Cad No:956 Sahil Tarafi Goztepe Konak, 35290 İzmir",371.0,foursquare
Burger Attack,38.399036,27.09009,4.3,2.0,Burgers,(0232) 246 03 02,"Mithatpaşa Cad No: 974/A, 35290 Konak",431.0,foursquare
Orkinos Restaurant,38.405404,27.098609,4.15,3.0,Seafood,(0232) 244 46 06,İzmir,88.0,foursquare
No Ondört Coffee,38.403761,27.099385,4.25,2.0,Café,,"Ayşe Mayda Sok No:14, Konak",274.0,foursquare
Petunya Cafe,38.404444,27.100676,4.0,2.0,Café,0530 766 05 20,"129 Sok No: 12/A (Mithatpaşa Caddesi), 35000 Konak",256.0,foursquare
Bulut Fırın,38.403913,27.102455,4.55,1.0,Bakery,(0232) 243 18 10,"137 Sok No: 36, Konak",408.0,foursquare
Küçükyalı Gevrek Fırını,38.406886,27.103158,4.4,1.0,Bakery,(0232) 232 12 82,"Mithat Paşa Cad No:569 Küçükyalı, İzmir",409.0,foursquare
Café La Dose,38.407367,27.103952,4.5,2.0,Café,,İzmir,455.0,foursquare
Pizza Locale - Mustafa Kemal Sahil,38.407335,27.103751,4.4,2.0,Pizza,(0232) 232 10 00,"Mustafa Kemal Sahil BLV. No:351, 35280 İzmir",451.0,foursquare
Tulumbalı Meyhane,38.40924,27.110555,3.95,,Meyhane,,"Mithatpaşa Cad No:540 Küçükyalı, İzmir",138.0,foursquare
Tulumbalı Meyhane Cümbüşşş,38.409503,27.113063,4.05,,Meyhane,,"Mithatpaşa Cad No:488/A, İzmir",349.0,foursquare
Aran Pide Salonu,38.407266,27.105532,4.25,2.0,Pide,(0232) 244 36 75,"Mithat Paşa Cad No:517/B Küçükyalı (Mithatpasa Caddesi), 35280 Konak",379.0,foursquare
İlk Adresim Restaurant,38.409475,27.113501,3.85,,Meyhane,0507 772 35 00,Konak,384.0,foursquare
Çaykolik,38.409227,27.111336,,2.0,Breakfast,,"Mitatpaşa, 35000 İzmir",205.0,foursquare
Çay Kolik,38.409486,27.111472,,2.0,Café,,İzmir,221.0,foursquare
Sembol Pide & Kebap,38.411649,27.121998,3.75,,Pide,(0232) 482 03 15,"Mithatpaşa Cad No:61/A Karataş Göztepe, İzmir",148.0,foursquare
Meşhur Acarlar Unlu Mamülleri Gıda,38.410146,27.12058,3.85,1.0,Bakery,(0232) 483 97 99,"Mithatpaşa Cad, No:133 Karataş, 35260 Konak",185.0,foursquare
Karataş Ekmek Ve Unlu Mamülleri,38.409855,27.119582,3.95,1.0,Bakery,(0232) 446 76 89,"Mithat Paşa Cad No: 165/A, Konak Merkez, İzmir",214.0,foursquare
Eye Opia,38.409433,27.120624,4.0,2.0,Café,0539 214 76 07,"Karataş 305 Sok No:37/A Barbaros Sok (Mithatpaşa Cad.), İzmir",253.0,foursquare
Asansir Cafe & Souvenir,38.40928,27.117499,4.15,2.0,Café,0555 560 27 92,"Mithatpaşa Cad Dario Moreno Sok No: 1 Karataş, İzmir",344.0,foursquare
Frida Cafe,38.409296,27.117236,4.2,2.0,Café,0545 342 09 75,"Turgut Reis, Dario Moreno Sok No:1 (Şht. Nihat Bey Cad.), 35000 Konak",350.0,foursquare
Taş Ev,38.409112,27.117351,4.1,2.0,Café,,"Dario Moreno Sok, Konak",370.0,foursquare
Asansör Teras Cafe & Bar,38.408619,27.117471,4.1,2.0,Café,(0232) 293 47 77,"Şehit Nihat Bey Cad (Karataş), 35280 Konak",408.0,foursquare
Cevatın Yeri Sahne Cafe,38.414801,27.12348,3.9,2.0,Café,,İzmir,471.0,foursquare
Ergök Döner,38.405558,27.121261,4.5,,Doner,(0232) 255 39 20,"İnönü Cad, No: 160 / B Hatay, Karabağlar",633.0,foursquare
Osmanlı,38.418724,27.125827,3.75,2.0,Café,,"Mustafa Kemal Sahil Bul, İzmir",43.0,foursquare
Kaffa Keyf,38.418746,27.125476,3.6,2.0,Café,(0232) 445 50 45,"Konak Vapur İskelesi Üstü, Konak",93.0,foursquare
Rıhtım Cafe,38.418718,27.125915,3.2,2.0,Café,,"Konak Vapur İskelesi Yanı, Konak",32.0,foursquare
Alsancak Unlu Mamuller,38.41876,27.126046,3.0,1.0,Bakery,,"Konak Vapur İskelesi, Konak",34.0,foursquare
Çaykovski,38.417869,27.129058,4.2,1.0,Café,(0232) 483 01 34,"31. Sokak, Konak",262.0,foursquare
Cimbomlu Meşhur Söğüşçü,38.419221,27.131919,4.35,1.0,Fast Food,(0232) 445 64 82,"855 Sok, No: 13 / A, 35250 Konak",454.0,foursquare
Konak Subay Orduevi Kahve'Nin Âlâsı,38.415298,27.124938,3.7,2.0,Café,,Konak,396.0,foursquare
Tarihi Kemeraltı Börekçisi,38.418298,27.131823,4.1,1.0,Bakery,,Konak,471.0,foursquare
Komposto Turk Mutfagi,38.420914,27.132207,4.55,1.0,Turkish Home Cooking,(0232) 483 21 83,"861 Sok No: 46 Kemeralti, 35250 Konak",548.0,foursquare
L’Aura Kitchen & Bar,38.423406,27.127362,4.1,3.0,Italian,0530 391 35 35,"Ataturk Cad No:19 Konak Pier Avm (Atatürk Caddesi No:19/S), 35210 İzmir",523.0,foursquare
Boyoz Cafe,38.41349,27.126529,3.6,2.0,Café,,"Konak, İzmir",350.0,foursquare
Gümüş Salon,38.41536,27.124899,3.05,2.0,Breakfast,,,263.0,foursquare
Sakiz Restaurant,38.428781,27.136552,4.2,3.0,Seafood,(0232) 464 11 03,"Ataturk Cad No: 158/A Konak, 35220 Konak",90.0,foursquare
Gümüş Balık Restaurant,38.426273,27.132392,4.2,3.0,Seafood,(0232) 483 37 47,"Kazım Dirik Cad, No: 1 / A, Pasaport (1.Kordon), İzmir",141.0,foursquare
Çınaraltı Meyhanesi,38.42563,27.134143,4.6,2.0,Turkish,(0232) 425 47 93,"Vali Kazım Dirik Cad No:22 A, İzmir",240.0,foursquare
Hisar Balık Pişiricisi,38.425854,27.13434,4.35,3.0,Seafood,(0232) 489 25 25,"Vali Kazım Dirik Cad, No: 18 / A, 35210 Konak",241.0,foursquare
Scappi,38.427954,27.135637,4.4,3.0,American,0530 609 13 19,"Gaziosmanpasa Bul No:1, 35210 İzmir",261.0,foursquare
Cafe Swiss,38.427898,27.135588,4.45,2.0,Café,(0232) 414 00 00,"Gazi Osman Paşa Bul Swissotel Grand Efes İzmir No: 1, Pasaport, Konak, İzmir, 35110 İzmir",288.0,foursquare
Skyfire Restaurant & Bar,38.426652,27.135694,4.25,,Modern European,(0232) 497 77 77,"Gazi Osman Paşa BLV. No:16 (G.O.P  Bulvari), İzmir",273.0,foursquare
Midpoint Alsancak,38.428502,27.136306,4.35,2.0,Dining and Drinking,(0232) 402 00 25,"Şehit Nevres Bul Swiss Hotel No: 2/A, Alsancak, İzmir",319.0,foursquare
Kordonboyubalik.,38.429904,27.134669,4.2,3.0,Seafood,,"Atatürk Cad No:174/B Alsancak Konak, 35220 İzmir",330.0,foursquare
Fish & Steak House,38.42996,27.134719,4.2,3.0,Seafood,(0232) 463 10 20,"Atatürk Cad, No: 174 Daire: 1, Alsancak, 35220 Konak",341.0,foursquare
Zaferin Yeri Restaurant,38.430625,27.135398,4.7,3.0,Seafood,0533 199 26 80,"Kultur, Ataturk Cad No: 184 / B, 35220 İzmir",117.0,foursquare
Körfez Ali Restorant İşletmeciliği,38.430625,27.135398,4.2,3.0,Seafood,(0232) 421 01 90,"Atatürk Cad No:182, A Alsancak, Konak",97.0,foursquare
Balıkçı Hasan,38.43096,27.135694,4.3,3.0,Seafood,(0232) 464 13 54,"Atatürk Cad, No: 186, Kordon (1.Kordon), 35100 Konak",128.0,foursquare
Deniz Restaurant,38.43129,27.136077,4.35,3.0,Diner,(0232) 464 44 99,"Atatürk Cad No: 188, 35220 Konak",183.0,foursquare
Lokanta Mahalle,38.429904,27.136523,4.4,,Turkish Home Cooking,(0232) 502 26 46,"Mustafa Münir Birsel Sok No:8/A, Konak",198.0,foursquare
Teras,38.43167,27.136598,4.25,,Dining and Drinking,,"Atatürk Cad No:190 Alsancak, İzmir",253.0,foursquare
Birinci Kordon Balık Restoran,38.433692,27.138197,4.3,3.0,Seafood,(0232) 422 40 01,"Atatürk Cad No: 196/A, 35220 İzmir",24.0,foursquare
Yemek Salonu - Kordon Orduevi,38.432793,27.137496,4.4,2.0,Breakfast,,,134.0,foursquare
İdil Mantı Evi,38.433285,27.138115,3.85,,Manti,(0232) 422 25 23,"No 1/B Doktor Mustafa Enver Bey Cad (Mustafa Enver Bey Cad), İzmir",91.0,foursquare
Beş Kardeşler Büfe,38.439268,27.144229,4.35,2.0,Sandwich Spot,(0232) 421 51 59,"1382 Sok No:4/C, 35220 Konak",197.0,foursquare
Pier’S,38.43253,27.139767,4.35,,Restaurant,,"Dr. Mustafa Enver Bey Cad, İzmir",209.0,foursquare
Ristorante Pizzeria Venedik,38.431966,27.138435,4.4,3.0,Pizza,(0232) 422 18 26,"1382 Sok, No: 10 / A, Alsancak, 35110 İzmir",216.0,foursquare
Tepeleme Söğüş,38.432016,27.137645,4.15,2.0,Turkish,,"Cumhuriyet Bul No:163, İzmir",210.0,foursquare
Favino Alsancak,38.432765,27.140715,4.5,,Theme Restaurant,(0232) 421 93 90,"Dr. Mustafa Enver Bey Cad No:11/A, 35220 İzmir",259.0,foursquare
Murano’S,38.432156,27.139158,4.25,3.0,Italian,,İzmir,244.0,foursquare
Ayvalık Balıkçısı Kerem,38.432428,27.136793,3.95,3.0,Seafood,(0232) 404 35 10,"Atatürk Cad No:192/B (Atatürk Caddesi), İzmir",213.0,foursquare
Yengeç Restaurant,38.438078,27.141603,4.4,3.0,Seafood,(0232) 464 57 57,"Ataturk Cad No: 314/A 1 Kordon Alsancak, Alsancak Vapur Iskelesi Karsisi (1.Kordon), İzmir",25.0,foursquare
Moresi Eskiköy,38.439631,27.142232,4.3,2.0,Breakfast,(0232) 463 26 46,"Atatürk Cad No:344/1 Kordon, İzmir",145.0,foursquare
Giritli Kâmuran,38.439804,27.142292,4.45,2.0,Café,(0232) 369 20 01,"Atatürk Cad No: 354/A Konak (alsancak), 35100 İzmir",169.0,foursquare
Ateş Ocakbaşı,38.436994,27.141944,4.4,2.0,Turkish,(0232) 422 10 80,"Can Yucel Sok No: 3/A Konak, 35220 İzmir",184.0,foursquare
Iskele Meyhanesi,38.439514,27.142221,3.75,,Bar,0553 215 60 10,"Ataturk Cad No: 340/A Alsancak - Kordon, İzmir",122.0,foursquare
Teyzem Börek,38.438357,27.143703,4.4,1.0,Bakery,(0232) 290 80 40,"Kıbrıs Şehitleri Cad No:98/A, Konak",198.0,foursquare
Alsancak Dostlar Fırını - Boyoz,38.439055,27.143856,4.65,1.0,Bakery,(0232) 421 92 02,"Kıbrıs Şehitleri Cad No: 120 Alsancak, 35210 İzmir",222.0,foursquare
"Meşhur Tavacı Recep Usta, Alsancak",38.440665,27.142681,4.4,3.0,Pide,(0232) 463 87 97,"Atatürk Cad, No: 364, Alsancak, Konak",253.0,foursquare
Alsancak Tostçu,38.439995,27.142774,3.85,2.0,Fast Food,(0232) 421 75 48,"1479 Sok No:3/C, 35220 İzmir",207.0,foursquare
Münire,38.437429,27.144368,4.6,1.0,Café,0535 259 68 46,"1484 Sok No:4, Alsancak (Kıbrıs Şehitleri Cad. Garanti Bankası Sokağı), 35220 İzmir",283.0,foursquare
Haşmetli Meyhane,38.441972,27.143463,4.35,,Meyhane,(0232) 339 41 41,"Ataturk Cad Kordon, No:376\U002Fa (Atatürk Caddesi), İzmir",17.0,foursquare
Big Baker,38.441532,27.144033,4.35,3.0,American,,Konak,98.0,foursquare
Bet10 Coffee&Bistro,38.441469,27.14302,4.2,1.0,Dining and Drinking,,"Atatürk Cad 1 Kordon No:370/B Alsancak (Kordon), İzmir",89.0,foursquare
Tek Tek Meyhanesi,38.441754,27.143178,3.75,,Meyhane,,"Atatürk Cad No: 372 Kordon, 35220 İzmir",61.0,foursquare
Fayton Bistro,38.441128,27.142812,4.05,2.0,Café,(0232) 464 33 34,"Alsancak Kordon 366/2A, Alsancak (Kültür cad), 35220 Konak",128.0,foursquare
Cızz Bızz Balık Evi,38.440044,27.14408,4.3,3.0,Seafood,(0232) 465 00 78,"Kibris Sehitleri Cad No: 171/B Alsancak, İzmir",237.0,foursquare
Yalı Çapkını (Yalıçapkını),38.440083,27.143466,3.85,,Meyhane,0545 828 94 11,"1478 Sok No:5/ A, İzmir",221.0,foursquare
Pirpirim Ocakbaşı Restaurant,38.440569,27.146027,4.3,1.0,BBQ,(0232) 463 11 24,"1473 Sok, No: 5 / A, Alsancak, Konak",292.0,foursquare
O'Lahmacun,38.439686,27.146916,4.4,2.0,Turkish,(0232) 421 11 99,"1471 Sok No:34, Konak",101.0,foursquare
Alsancak Dostlar Fırını - Boyozcu Hakan,38.44096,27.146372,4.45,1.0,Bakery,(0232) 421 91 02,"1475 Sok No: 1/A Alsancak, 35220 İzmir",152.0,foursquare
Sevince Lokantası Ve Meyhanesi,38.439659,27.144574,4.6,,Meyhane,(0232) 421 35 70,"1471 Sok No:20/A, Konak",274.0,foursquare
Zeynel Ergin Gevrek Fırını,38.438318,27.145245,4.75,1.0,Bakery,(0232) 403 40 04,"1466 Sok No: 2, 35220 Konak",287.0,foursquare
Alsancak Kebapçısı,38.439659,27.144574,3.9,2.0,Turkish,,"1456 Sok, İzmir",270.0,foursquare
Kulüp Ali Restoran,38.439095,27.145435,4.0,3.0,Seafood,(0232) 421 40 48,"1469 Sok, No: 35, Alsancak (Kıbrısşehitleri Cd), Konak",338.0,foursquare
Analytichef Pastry & Coffee,38.44735,27.174069,4.2,2.0,Café,(0232) 502 75 80,"Ege Perla 2 Kat (Ozan Abay caddesi), 35170 İzmir",375.0,foursquare
Konak Orduevi,38.442823,27.171122,,2.0,Café,,,264.0,foursquare
Meles Deltası Piknik Alanı,38.448618,27.170565,3.2,,Food Court,,İzmir,382.0,foursquare
Çınarlı Fırını,38.439997,27.172503,3.95,1.0,Bakery,,"Anadolu Cad No:5, İzmir",587.0,foursquare
Cafe Del VRP,38.450551,27.170788,3.7,2.0,Indian,,,604.0,foursquare
Garden & Grill By Hilton,38.450282,27.171293,3.5,2.0,BBQ,,,553.0,foursquare
Zeytin Restaurant,38.447912,27.17844,4.2,,Turkish Home Cooking,,,734.0,foursquare
Panino Pizza,38.448019,27.173467,,2.0,Pizza,,İzmir,409.0,foursquare
Kürkçü Dükkanı,38.439105,27.172554,3.55,,Meyhane,,"1574Sokak No/5 Çınarlı Konak, İzmir",693.0,foursquare
Alaçatı Kafası,38.448473,27.179066,3.8,,Meyhane,,"Mistral, İzmir",810.0,foursquare
Varyant Kokoreç,38.471241,27.208523,3.95,,Kokoreç Restaurant,,"Atatürk Mah (İstiklal Caddesi), 35000 Bornova",419.0,foursquare
Bornovalılar Kasabı,38.464483,27.209256,4.25,4.0,Steakhouse,,555 Sok,485.0,foursquare
Gandi'Nin Yeri,38.465187,27.208394,4.35,2.0,Bar,(0232) 374 40 29,"Yüzbaşı İbrahim Hakkı Cad No:127/A, İzmir",521.0,foursquare
Meyhane,38.46525,27.207428,4.1,2.0,Meyhane,(0232) 373 98 72,"Yüzbaşı İbrahim Hakkı Cad No:123/B, İzmir",501.0,foursquare
Biz Bize,38.464819,27.207697,4.0,,Restaurant,0554 980 74 01,"Aşık Veysel Rekreasyon Alanı Yanı (Gediz Caddesi), Bornova",514.0,foursquare
Bade Fırın Cafe,38.464053,27.208597,4.1,2.0,Café,,"Gediz Cad No:36 Bornova (Gediz Caddesi), İzmir",565.0,foursquare
Samsun Pide Evi,38.46334,27.213255,4.25,,Pide,(0232) 374 44 00,"Mustafa Kemal Cad, 159 Sok, No: 33 / A, Kazımdirik (Mustafa Kemal cad), Bornova",585.0,foursquare
Baba Meyhane,38.464053,27.208597,4.0,,Meyhane,0532 207 17 33,Bornova,556.0,foursquare
Domino's Pizza,38.4718,27.20923,3.4,2.0,Pizza,(0232) 346 08 08,"513 Sok No: 78/A, 35030 Bornova",426.0,foursquare
Bahrimu Bodrum Balıkçısı,38.465619,27.206271,3.9,1.0,Seafood,(0232) 339 71 00,"Yüzbaşı İbrahim Hakkı Cad No:155/C (Yüzbaşı İbrahim Hakkı caddesi no 193/A), 35100 Bornova",568.0,foursquare
Bayraklı İskele Cafe,38.463939,27.161916,3.8,2.0,Café,,"Altınyol Caddesi, İzmir",81.0,foursquare
Cafe Enfes,38.462916,27.165664,3.95,2.0,Café,,Bayraklı,254.0,foursquare
Sanal Kumda Kahve & Waffle,38.463541,27.166031,3.95,2.0,Café,,"1915 Sok No:6/A (Sevgi Yolu), İzmir",273.0,foursquare
Mevlana Pide & Döner,38.464027,27.165811,4.05,2.0,Pide,(0232) 371 94 20,"Ord. Prof. Ekrem Akurgal Cad No:49/A Bayrakli (Bayraklı Sevgi Yolu), 35530 İzmir",286.0,foursquare
Meyhane Nevizade,38.462715,27.164188,3.45,2.0,Meyhane,0505 470 62 04,"1606/1 Sok No:8, Bayraklı",176.0,foursquare
Kula Pide Restaurant,38.462697,27.166306,4.05,,Pide,0532 494 68 25,Bayraklı,315.0,foursquare
Köfteci İsmet Usta,38.463133,27.166876,3.95,,Kofte,(0232) 371 96 69,"1916 Sok (Bayrakli sevgi yolu), 35530 Bayraklı",301.0,foursquare
Bizim Döner Murat Usta,38.464429,27.165981,3.9,2.0,Turkish,,Bayraklı,315.0,foursquare
Mert'in Yeri & İsmail Usta,38.463496,27.166733,3.95,4.0,Steakhouse,(0232) 345 89 99,"1916 Sok No:4A Bayraklı (Sevgi Yolu Bayraklı), İzmir",361.0,foursquare
Nihat'ın Yeri,38.464258,27.161285,,1.0,Sandwich Spot,,,146.0,foursquare
Havuz Cafe Restoran-Bayraklı A.Ş.,38.466638,27.159121,3.55,2.0,Café,,"Altınyol Cad No:75/A Fuat Edip Baksı Mah Bayraklı, Bayraklı",31.0,foursquare
